ISO3,Country,Region,Geographic_Zone,SurveyYear,Data_Source_ANC,Data_Source_TFR,Data_Source_Socioeconomic,Skilled_ANC_pct,No_ANC_pct,Skilled_Delivery_pct,Health_Facility_Delivery_pct,TFR,Adolescent_Fertility_Rate,General_Fertility_Rate,Care_Efficiency_Index,Risk_Zone,ANC_zscore,TFR_zscore,LISA_ANC,Quad_ANC,LISA_TFR,Quad_TFR,Moran_I_ANC,p_ANC,Moran_I_TFR,p_TFR,n_regions,N_Districts,Total_Population,Poverty_Incidence_mean_pct,Poverty_Intensity_mean_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Illiterate_Population,Uninsured_Population,Total_Population.1,Female_Pop_0_14,Male_Pop_0_14,Female_Pop_15_64,Male_Pop_15_64,Female_Pop_65plus,Male_Pop_65plus,Risk_Zone_Grand,ANC_z_year,TFR_z_year,Risk_Zone_YearStratified
GHA,Ghana,Central,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,86.1,13.0,38.1,35.5,5.4,124.0,188.0,15.944,Critical,-0.8873534914975586,0.7438276505180568,0.0396,HH,-0.1893,HL,0.2283,0.02,-0.0507,0.268,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Critical,0.05021538605132192,0.33702310741886704,Workhorse
GHA,Ghana,Central,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,92.0,6.2,42.9,40.7,4.7,99.0,158.0,19.574,Critical,-0.1198973487555676,0.0738626058556392,0.45,HH,-0.056,HL,0.363,0.008,0.1156,0.049,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Critical,0.6020774947840261,0.08161265394036578,Workhorse
GHA,Ghana,Central,Southern Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.0,4.0,34.0,33.2,5.0,121.0,166.0,19.0,Workhorse,0.270334588231885,0.3609904821395322,0.4462,HH,-0.407,HL,0.2579,0.016,0.1109,0.051,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Workhorse,0.6966827265712618,0.45578127746763186,Workhorse
GHA,Ghana,Central,Southern Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,93.1,3.8,56.7,54.6,5.4,104.0,174.0,17.241,Workhorse,0.0231876948064976,0.7438276505180568,-0.1122,LH,-1.0714,HL,0.1475,0.059,-0.0483,0.278,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Workhorse,-1.444848372108077,1.2633523314184736,Critical
GHA,Ghana,Central,Southern Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.5,2.5,71.5,70.6,4.7,98.0,163.0,20.745,Workhorse,0.5955278690547623,0.0738626058556392,0.0308,HH,-0.2745,HL,0.0394,0.134,0.1969,0.022,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Workhorse,0.09652840039562861,0.2793300663593269,Workhorse
GHA,Ghana,Central,Southern Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,96.7,3.3,,,4.0,113.0,139.0,24.175,Resilient,0.4914660191914419,-0.5961024388067784,0.1065,LL,0.2014,LL,0.1823,0.024,0.1143,0.026,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Resilient,-0.3095478550987496,-0.29207543010674153,Emerging
GHA,Ghana,Central,Southern Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.9,2.1,,,3.9,99.0,136.0,25.103,Resilient,0.6475587939864234,-0.6918117309014095,0.0393,HH,0.1146,LL,-0.0823,0.354,0.2127,0.016,10,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Resilient,0.06308318092944178,-0.11446755324603004,Resilient
GHA,Ghana,Central,Southern Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.6,0.9,84.0,82.5,3.6,60.0,122.0,27.389,Resilient,0.7386129126168275,-0.9789396071853024,-0.1013,HL,0.6879,LL,-0.1067,0.496,0.5696,0.001,13,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Resilient,0.5888351620381658,-0.7299402882586419,Resilient
GHA,Ghana,Eastern,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,88.2,2.9,37.1,,6.0,129.0,209.0,14.7,Critical,-0.6141911356063406,1.3180834030858428,0.0884,HH,0.1799,LL,-0.0435,0.158,-0.0978,0.299,8,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Critical,0.38907481678148254,-0.5266403716363546,Resilient
GHA,Ghana,Eastern,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,89.1,5.9,55.5,55.5,5.0,134.0,176.0,17.82,Critical,-0.4971215545101059,0.3609904821395322,0.2969,HH,0.0911,LL,0.2283,0.02,-0.0507,0.268,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Critical,0.4806329807769454,-0.22468207161257595,Resilient
